SdkName,SdkType,Run,Packets,Bytes
admob,Ads,1,575,346112
admob,Ads,2,521,322560
admob,Ads,3,529,325632
admob,Ads,4,504,324608
admob,Ads,5,502,320512
admob,Ads,6,538,327680
admob,Ads,7,510,323584
admob,Ads,8,592,379904
admob,Ads,9,840,662528
admob,Ads,10,589,394240
admob,Ads,11,912,702464
admob,Ads,12,650,451584
admob,Ads,13,519,323584
admob,Ads,14,499,321536
admob,Ads,15,554,313344
admob,Ads,16,507,337920
admob,Ads,17,548,324608
admob,Ads,18,514,308224
admob,Ads,19,488,319488
admob,Ads,20,564,330752
admob,Ads,21,523,323584
admob,Ads,22,624,421888
admob,Ads,23,530,318464
admob,Ads,24,509,327680
admob,Ads,25,519,323584
admob,Ads,26,525,323584
admob,Ads,27,540,323584
admob,Ads,28,517,323584
admob,Ads,29,511,322560
admob,Ads,30,511,322560
applovin,Ads,1,474,295936
applovin,Ads,2,5070,4561920
applovin,Ads,3,449,275456
applovin,Ads,4,3341,3055616
applovin,Ads,5,270,120832
applovin,Ads,6,9197,9057280
applovin,Ads,7,501,302080
applovin,Ads,8,262,117760
applovin,Ads,9,240,95232
applovin,Ads,10,459,269312
applovin,Ads,11,656,452608
applovin,Ads,12,4103,3949568
applovin,Ads,13,451,263168
applovin,Ads,14,264,121856
applovin,Ads,15,4713,4552704
applovin,Ads,16,571,350208
applovin,Ads,17,5319,5113856
applovin,Ads,18,5120,4896768
applovin,Ads,19,244,100352
applovin,Ads,20,4731,4508672
applovin,Ads,21,3821,3755008
applovin,Ads,22,6404,6361088
applovin,Ads,23,7557,7165952
applovin,Ads,24,4048,3800064
applovin,Ads,25,332,167936
applovin,Ads,26,514,332800
applovin,Ads,27,306,168960
applovin,Ads,28,4079,3784704
applovin,Ads,29,480,278528
applovin,Ads,30,974,708608
mopub,Ads,1,541,326656
mopub,Ads,2,568,331776
mopub,Ads,3,511,324608
mopub,Ads,4,533,328704
mopub,Ads,5,615,420864
mopub,Ads,6,533,328704
mopub,Ads,7,521,324608
mopub,Ads,8,535,330752
mopub,Ads,9,508,322560
mopub,Ads,10,554,333824
mopub,Ads,11,521,326656
mopub,Ads,12,529,331776
mopub,Ads,13,527,326656
mopub,Ads,14,24,8591
mopub,Ads,15,515,323584
mopub,Ads,16,623,421888
mopub,Ads,17,513,323584
mopub,Ads,18,518,325632
mopub,Ads,19,524,325632
mopub,Ads,20,538,331776
mopub,Ads,21,542,335872
mopub,Ads,22,545,329728
mopub,Ads,23,560,339968
mopub,Ads,24,504,322560
mopub,Ads,25,516,325632
mopub,Ads,26,531,327680
mopub,Ads,27,556,333824
mopub,Ads,28,520,325632
mopub,Ads,29,523,325632
mopub,Ads,30,540,334848
