SdkName,SdkType,Run,Value
firebase,Analytics,10,215.929447791263
firebase,Analytics,11,212.385624826843
firebase,Analytics,12,213.324014972587
firebase,Analytics,13,213.763737498391
firebase,Analytics,14,213.225813447246
firebase,Analytics,15,214.604216817298
firebase,Analytics,16,213.544751191087
firebase,Analytics,17,214.003092995666
firebase,Analytics,18,212.703425419251
firebase,Analytics,19,213.482462466574
firebase,Analytics,1,211.17986546718
firebase,Analytics,20,213.165759067162
firebase,Analytics,21,212.679706699449
firebase,Analytics,22,214.414662179523
firebase,Analytics,23,212.868557915978
firebase,Analytics,24,213.534606200247
firebase,Analytics,25,214.539322656116
firebase,Analytics,26,217.173624657845
firebase,Analytics,27,213.241812700523
firebase,Analytics,28,213.496735653175
firebase,Analytics,29,218.070792568657
firebase,Analytics,2,212.390626547913
firebase,Analytics,30,213.775489199811
firebase,Analytics,3,212.927744316768
firebase,Analytics,4,211.871161080808
firebase,Analytics,5,213.816442777583
firebase,Analytics,6,213.376867752494
firebase,Analytics,7,212.310654764416
firebase,Analytics,8,214.972008578647
firebase,Analytics,9,213.576701778062
flurry,Analytics,10,213.931061736099
flurry,Analytics,11,213.657141644525
flurry,Analytics,12,214.323529234267
flurry,Analytics,13,216.151368576535
flurry,Analytics,14,214.360001422363
flurry,Analytics,15,213.26600192632
flurry,Analytics,16,213.509310395604
flurry,Analytics,17,213.485434229759
flurry,Analytics,18,214.004894084835
flurry,Analytics,19,214.130590477116
flurry,Analytics,1,210.465895314007
flurry,Analytics,20,215.776467727805
flurry,Analytics,21,215.769086518546
flurry,Analytics,22,214.08808263761
flurry,Analytics,23,213.98520974765
flurry,Analytics,24,214.315598201266
flurry,Analytics,25,213.223691429953
flurry,Analytics,26,215.382009887036
flurry,Analytics,27,214.417835516354
flurry,Analytics,28,212.570201121042
flurry,Analytics,29,214.533968699375
flurry,Analytics,2,211.418274269182
flurry,Analytics,30,214.367088140982
flurry,Analytics,3,211.921722527756
flurry,Analytics,4,213.121379198868
flurry,Analytics,5,214.325271294925
flurry,Analytics,6,214.955220631258
flurry,Analytics,7,213.722769135665
flurry,Analytics,8,212.479688973096
flurry,Analytics,9,213.503410760443
google,Analytics,10,214.340446197482
google,Analytics,11,212.999850397782
google,Analytics,12,215.037406788431
google,Analytics,13,213.631433801115
google,Analytics,14,213.480038102307
google,Analytics,15,212.816827113556
google,Analytics,16,214.05229545773
google,Analytics,17,214.340070851816
google,Analytics,18,214.142723724779
google,Analytics,19,214.074034820956
google,Analytics,1,212.018808228276
google,Analytics,20,214.849564928605
google,Analytics,21,213.571198536951
google,Analytics,22,213.159576530375
google,Analytics,23,214.604242480608
google,Analytics,24,213.898109120842
google,Analytics,25,215.675291854392
google,Analytics,26,214.693840136725
google,Analytics,27,214.340473741724
google,Analytics,28,214.761074345841
google,Analytics,29,215.025456050791
google,Analytics,2,214.700864968291
google,Analytics,30,214.461586776676
google,Analytics,3,211.937098582433
google,Analytics,4,212.313974810335
google,Analytics,5,213.021339997222
google,Analytics,6,213.861240141594
google,Analytics,7,213.258513340785
google,Analytics,8,215.36361220306
google,Analytics,9,212.80016029345
