SdkName,SdkType,Run,Packets,Bytes
firebase,Analytics,1,54,17408
firebase,Analytics,2,19,6579
firebase,Analytics,3,18,5434
firebase,Analytics,4,16,5375
firebase,Analytics,5,18,5495
firebase,Analytics,6,92,31744
firebase,Analytics,7,17,5495
firebase,Analytics,8,22,5749
firebase,Analytics,9,18,5577
firebase,Analytics,10,16,5285
firebase,Analytics,11,44,16384
firebase,Analytics,12,16,6194
firebase,Analytics,13,22,5887
firebase,Analytics,14,17,6698
firebase,Analytics,15,17,5540
firebase,Analytics,16,15,5344
firebase,Analytics,17,19,6077
firebase,Analytics,18,16,5284
firebase,Analytics,19,18,5373
firebase,Analytics,20,45,12288
firebase,Analytics,21,16,5390
firebase,Analytics,22,18,5499
firebase,Analytics,23,20,5727
firebase,Analytics,24,66,24576
firebase,Analytics,25,20,5627
firebase,Analytics,26,20,5652
firebase,Analytics,27,21,6626
firebase,Analytics,28,16,5343
firebase,Analytics,29,18,5627
firebase,Analytics,30,15,5309
flurry,Analytics,1,50,18432
flurry,Analytics,2,46,17408
flurry,Analytics,3,48,18432
flurry,Analytics,4,49,18432
flurry,Analytics,5,53,18432
flurry,Analytics,6,49,18432
flurry,Analytics,7,49,18432
flurry,Analytics,8,49,18432
flurry,Analytics,9,47,17408
flurry,Analytics,10,48,18432
flurry,Analytics,11,50,18432
flurry,Analytics,12,47,17408
flurry,Analytics,13,50,18432
flurry,Analytics,14,48,18432
flurry,Analytics,15,51,18432
flurry,Analytics,16,50,18432
flurry,Analytics,17,52,18432
flurry,Analytics,18,49,18432
flurry,Analytics,19,51,18432
flurry,Analytics,20,78,26624
flurry,Analytics,21,49,18432
flurry,Analytics,22,54,18432
flurry,Analytics,23,54,18432
flurry,Analytics,24,51,18432
flurry,Analytics,25,49,18432
flurry,Analytics,26,48,18432
flurry,Analytics,27,53,18432
flurry,Analytics,28,50,18432
flurry,Analytics,29,49,18432
flurry,Analytics,30,48,18432
google,Analytics,1,18,6774
google,Analytics,2,3,1252
google,Analytics,3,3,1255
google,Analytics,4,8,2279
google,Analytics,5,3,1250
google,Analytics,6,3,1251
google,Analytics,7,3,1253
google,Analytics,8,3,1252
google,Analytics,9,3,1252
google,Analytics,10,3,1252
google,Analytics,11,3,1255
google,Analytics,12,3,1252
google,Analytics,13,5,1943
google,Analytics,14,3,1249
google,Analytics,15,3,1252
google,Analytics,16,3,1249
google,Analytics,17,3,1252
google,Analytics,18,3,1252
google,Analytics,19,3,1253
google,Analytics,20,10,1776
google,Analytics,21,15,2993
google,Analytics,22,8,1567
google,Analytics,23,3,1250
google,Analytics,24,3,1252
google,Analytics,25,3,1252
google,Analytics,26,5,1946
google,Analytics,27,3,1256
google,Analytics,28,3,1252
google,Analytics,29,3,1252
google,Analytics,30,3,1253
