SdkName,SdkType,Run,Value
acra,CrashReporting,10,98.3657017276652
acra,CrashReporting,11,97.6645943847227
acra,CrashReporting,12,98.407418426379
acra,CrashReporting,13,97.9272132602061
acra,CrashReporting,14,97.7647073163134
acra,CrashReporting,15,97.7268770239642
acra,CrashReporting,16,97.6541048495482
acra,CrashReporting,17,97.7771111939424
acra,CrashReporting,18,99.21691128463
acra,CrashReporting,19,99.0633831640454
acra,CrashReporting,1,97.862612169204
acra,CrashReporting,20,99.1104857839742
acra,CrashReporting,21,98.9881247720264
acra,CrashReporting,22,98.4407477995656
acra,CrashReporting,23,98.6719706680605
acra,CrashReporting,24,98.6195765995955
acra,CrashReporting,25,97.5673798463494
acra,CrashReporting,26,98.6305347395305
acra,CrashReporting,27,98.1628790414101
acra,CrashReporting,28,97.8505127306212
acra,CrashReporting,29,98.6654351251631
acra,CrashReporting,2,96.5211301306506
acra,CrashReporting,30,97.9629555086124
acra,CrashReporting,3,97.4252602445565
acra,CrashReporting,4,98.4118605080371
acra,CrashReporting,5,97.9068830470983
acra,CrashReporting,6,97.4589873146898
acra,CrashReporting,7,98.7154426652427
acra,CrashReporting,8,98.3083145596107
acra,CrashReporting,9,97.9576973141692
crashlytics,CrashReporting,10,97.5928695247438
crashlytics,CrashReporting,11,97.5071579796619
crashlytics,CrashReporting,12,98.8695210649912
crashlytics,CrashReporting,13,98.2302952576076
crashlytics,CrashReporting,14,98.2051736866616
crashlytics,CrashReporting,15,99.8005791506148
crashlytics,CrashReporting,16,98.9086965848185
crashlytics,CrashReporting,17,98.1297486886307
crashlytics,CrashReporting,18,98.5886510740875
crashlytics,CrashReporting,19,99.0424355871072
crashlytics,CrashReporting,1,97.599444638823
crashlytics,CrashReporting,20,99.8668365849505
crashlytics,CrashReporting,21,98.9044239467795
crashlytics,CrashReporting,22,97.1049228683715
crashlytics,CrashReporting,23,100.230301539091
crashlytics,CrashReporting,24,98.6948546491466
crashlytics,CrashReporting,25,98.5034777217459
crashlytics,CrashReporting,26,98.3459495132827
crashlytics,CrashReporting,27,97.6427621947146
crashlytics,CrashReporting,28,99.058458564011
crashlytics,CrashReporting,29,98.8096235142578
crashlytics,CrashReporting,2,97.2981887549213
crashlytics,CrashReporting,30,98.7855782337969
crashlytics,CrashReporting,3,100.052953774455
crashlytics,CrashReporting,4,97.9073087675094
crashlytics,CrashReporting,5,97.9097403031232
crashlytics,CrashReporting,6,98.2984074845091
crashlytics,CrashReporting,7,98.1550261823959
crashlytics,CrashReporting,8,98.1659370364375
crashlytics,CrashReporting,9,98.0992148567572
newrelic,CrashReporting,10,98.9966224411602
newrelic,CrashReporting,11,97.195623888539
newrelic,CrashReporting,12,97.815535181056
newrelic,CrashReporting,13,97.8480781676513
newrelic,CrashReporting,14,98.2076787934065
newrelic,CrashReporting,15,99.2326015437948
newrelic,CrashReporting,16,98.5029840644649
newrelic,CrashReporting,17,98.2259811312118
newrelic,CrashReporting,18,98.0085367355771
newrelic,CrashReporting,19,99.1864114092646
newrelic,CrashReporting,1,98.2750267251407
newrelic,CrashReporting,20,98.0865192851737
newrelic,CrashReporting,21,98.6883486601835
newrelic,CrashReporting,22,97.3904421179238
newrelic,CrashReporting,23,98.5074385349059
newrelic,CrashReporting,24,98.4335387420914
newrelic,CrashReporting,25,98.4617450784083
newrelic,CrashReporting,26,97.9202109004225
newrelic,CrashReporting,27,97.852712278505
newrelic,CrashReporting,28,98.4247072801049
newrelic,CrashReporting,29,98.3429698703316
newrelic,CrashReporting,2,97.5660952191523
newrelic,CrashReporting,30,98.0424007153664
newrelic,CrashReporting,3,98.9288210901211
newrelic,CrashReporting,4,98.1914849712019
newrelic,CrashReporting,5,99.2600972337279
newrelic,CrashReporting,6,97.1373335070172
newrelic,CrashReporting,7,97.7139365275182
newrelic,CrashReporting,8,98.3103485434336
newrelic,CrashReporting,9,97.8988199567346
