SdkName,SdkType,Run,Metric,MinValue,AvgValue,MedValue,MaxValue
acra,CrashReporting,10,CPU,0,0.375,0,2
acra,CrashReporting,11,CPU,0,0.2,0,2
acra,CrashReporting,12,CPU,0,0,0,0
acra,CrashReporting,13,CPU,0,0.2,0,2
acra,CrashReporting,14,CPU,0,0.375,0,3
acra,CrashReporting,15,CPU,0,0.222222222222222,0,2
acra,CrashReporting,16,CPU,0,0.181818181818182,0,1
acra,CrashReporting,17,CPU,0,0.2,0,1
acra,CrashReporting,18,CPU,0,0.25,0,2
acra,CrashReporting,19,CPU,0,0.2,0,2
acra,CrashReporting,1,CPU,0,0.4,0,2
acra,CrashReporting,20,CPU,0,0,0,0
acra,CrashReporting,21,CPU,0,0.222222222222222,0,1
acra,CrashReporting,22,CPU,0,0.25,0,2
acra,CrashReporting,23,CPU,0,1,0,5
acra,CrashReporting,24,CPU,0,0.25,0,2
acra,CrashReporting,25,CPU,0,0.25,0,2
acra,CrashReporting,26,CPU,0,0.125,0,1
acra,CrashReporting,27,CPU,0,0.1,0,1
acra,CrashReporting,28,CPU,0,0.125,0,1
acra,CrashReporting,29,CPU,0,0,0,0
acra,CrashReporting,2,CPU,0,0.333333333333333,0,2
acra,CrashReporting,30,CPU,0,0.25,0,2
acra,CrashReporting,3,CPU,0,0.166666666666667,0,2
acra,CrashReporting,4,CPU,0,0.375,0,2
acra,CrashReporting,5,CPU,0,0.181818181818182,0,2
acra,CrashReporting,6,CPU,0,0,0,0
acra,CrashReporting,7,CPU,0,0,0,0
acra,CrashReporting,8,CPU,0,0.2,0,2
acra,CrashReporting,9,CPU,0,0.2,0,2
crashlytics,CrashReporting,10,CPU,0,0.333333333333333,0,2
crashlytics,CrashReporting,11,CPU,0,0.142857142857143,0,1
crashlytics,CrashReporting,12,CPU,0,0.285714285714286,0,1
crashlytics,CrashReporting,13,CPU,0,0,0,0
crashlytics,CrashReporting,14,CPU,0,0.571428571428571,0,4
crashlytics,CrashReporting,15,CPU,0,0.166666666666667,0,1
crashlytics,CrashReporting,16,CPU,0,0.166666666666667,0,1
crashlytics,CrashReporting,17,CPU,0,0.142857142857143,0,1
crashlytics,CrashReporting,18,CPU,0,1.42857142857143,0,8
crashlytics,CrashReporting,19,CPU,0,0,0,0
crashlytics,CrashReporting,1,CPU,0,0.142857142857143,0,1
crashlytics,CrashReporting,20,CPU,0,0.142857142857143,0,1
crashlytics,CrashReporting,21,CPU,0,0.142857142857143,0,1
crashlytics,CrashReporting,22,CPU,0,0.142857142857143,0,1
crashlytics,CrashReporting,23,CPU,0,0.166666666666667,0,1
crashlytics,CrashReporting,24,CPU,0,0.166666666666667,0,1
crashlytics,CrashReporting,25,CPU,0,0,0,0
