SdkName,SdkType,Run,Packets,Bytes
acra,CrashReporting,1,40,23552
acra,CrashReporting,2,41,23552
acra,CrashReporting,3,43,24576
acra,CrashReporting,4,41,23552
acra,CrashReporting,5,41,23552
acra,CrashReporting,6,41,23552
acra,CrashReporting,7,41,23552
acra,CrashReporting,8,40,23552
acra,CrashReporting,9,41,23552
acra,CrashReporting,10,41,23552
acra,CrashReporting,11,41,23552
acra,CrashReporting,12,46,23552
acra,CrashReporting,13,41,23552
acra,CrashReporting,14,41,23552
acra,CrashReporting,15,41,23552
acra,CrashReporting,16,45,23552
acra,CrashReporting,17,41,23552
acra,CrashReporting,18,41,23552
acra,CrashReporting,19,41,23552
acra,CrashReporting,20,41,23552
acra,CrashReporting,21,42,23552
acra,CrashReporting,22,41,23552
acra,CrashReporting,23,41,23552
acra,CrashReporting,24,41,23552
acra,CrashReporting,25,41,23552
acra,CrashReporting,26,41,23552
acra,CrashReporting,27,41,23552
acra,CrashReporting,28,41,23552
acra,CrashReporting,29,41,23552
acra,CrashReporting,30,41,23552
crashlytics,CrashReporting,1,115,52224
crashlytics,CrashReporting,2,108,50176
crashlytics,CrashReporting,3,119,51200
crashlytics,CrashReporting,4,113,50176
crashlytics,CrashReporting,5,117,51200
crashlytics,CrashReporting,6,118,51200
crashlytics,CrashReporting,7,112,51200
crashlytics,CrashReporting,8,116,51200
crashlytics,CrashReporting,9,112,50176
crashlytics,CrashReporting,10,118,51200
crashlytics,CrashReporting,11,114,51200
crashlytics,CrashReporting,12,118,51200
crashlytics,CrashReporting,13,113,50176
crashlytics,CrashReporting,14,113,50176
crashlytics,CrashReporting,15,113,50176
crashlytics,CrashReporting,16,113,50176
crashlytics,CrashReporting,17,112,50176
crashlytics,CrashReporting,18,111,51200
crashlytics,CrashReporting,19,122,52224
crashlytics,CrashReporting,20,119,51200
crashlytics,CrashReporting,21,114,50176
crashlytics,CrashReporting,22,114,51200
crashlytics,CrashReporting,23,113,50176
crashlytics,CrashReporting,24,114,52224
crashlytics,CrashReporting,25,117,51200
crashlytics,CrashReporting,26,122,52224
crashlytics,CrashReporting,27,111,51200
crashlytics,CrashReporting,28,112,50176
crashlytics,CrashReporting,29,114,51200
crashlytics,CrashReporting,30,117,51200
newrelic,CrashReporting,1,72,32768
newrelic,CrashReporting,2,67,29696
newrelic,CrashReporting,3,68,31744
newrelic,CrashReporting,4,67,29696
newrelic,CrashReporting,5,64,29696
newrelic,CrashReporting,6,64,29696
newrelic,CrashReporting,7,67,30720
newrelic,CrashReporting,8,67,29696
newrelic,CrashReporting,9,63,29696
newrelic,CrashReporting,10,67,29696
newrelic,CrashReporting,11,67,29696
newrelic,CrashReporting,12,67,30720
newrelic,CrashReporting,13,67,30720
newrelic,CrashReporting,14,65,29696
newrelic,CrashReporting,15,63,29696
newrelic,CrashReporting,16,63,29696
newrelic,CrashReporting,17,63,29696
newrelic,CrashReporting,18,63,29696
newrelic,CrashReporting,19,65,30720
newrelic,CrashReporting,20,63,29696
newrelic,CrashReporting,21,63,29696
newrelic,CrashReporting,22,67,30720
newrelic,CrashReporting,23,151,57344
newrelic,CrashReporting,24,63,29696
newrelic,CrashReporting,25,63,29696
newrelic,CrashReporting,26,66,30720
newrelic,CrashReporting,27,64,29696
newrelic,CrashReporting,28,67,30720
newrelic,CrashReporting,29,67,30720
newrelic,CrashReporting,30,63,29696
