SdkName,SdkType,Metric,Run,Value
admob,Advertising,CPU,1,1.11111111111111
admob,Advertising,CPU,2,12.2222222222222
admob,Advertising,CPU,3,3.55555555555556
admob,Advertising,CPU,4,3.66666666666667
admob,Advertising,CPU,5,13.5555555555556
admob,Advertising,CPU,6,5
admob,Advertising,CPU,7,16.8888888888889
admob,Advertising,CPU,8,13.5
admob,Advertising,CPU,9,5.88888888888889
admob,Advertising,CPU,10,0
admob,Advertising,CPU,11,16.3333333333333
admob,Advertising,CPU,12,5.75
admob,Advertising,CPU,13,11.1111111111111
admob,Advertising,CPU,14,2.55555555555556
admob,Advertising,CPU,15,2.625
admob,Advertising,CPU,16,0
admob,Advertising,CPU,17,9.22222222222222
admob,Advertising,CPU,18,6.375
admob,Advertising,CPU,19,6.33333333333333
admob,Advertising,CPU,20,7.11111111111111
admob,Advertising,CPU,21,4.66666666666667
admob,Advertising,CPU,22,1
admob,Advertising,CPU,23,4.5
admob,Advertising,CPU,24,4.55555555555556
admob,Advertising,CPU,25,9.66666666666667
admob,Advertising,CPU,26,10.3333333333333
admob,Advertising,CPU,27,5.11111111111111
admob,Advertising,CPU,28,10.5555555555556
admob,Advertising,CPU,29,1
admob,Advertising,CPU,30,9
applovin,Advertising,CPU,1,7.11111111111111
applovin,Advertising,CPU,2,2.22222222222222
applovin,Advertising,CPU,3,4.88888888888889
applovin,Advertising,CPU,4,3.875
applovin,Advertising,CPU,5,3.625
applovin,Advertising,CPU,6,2.22222222222222
applovin,Advertising,CPU,7,1.22222222222222
applovin,Advertising,CPU,8,0.5
applovin,Advertising,CPU,9,3.33333333333333
applovin,Advertising,CPU,10,2.77777777777778
applovin,Advertising,CPU,11,2.44444444444444
applovin,Advertising,CPU,12,3.77777777777778
applovin,Advertising,CPU,13,0.777777777777778
applovin,Advertising,CPU,14,3.25
applovin,Advertising,CPU,15,6.25
applovin,Advertising,CPU,16,2
applovin,Advertising,CPU,17,5.33333333333333
applovin,Advertising,CPU,18,2
applovin,Advertising,CPU,19,2.875
applovin,Advertising,CPU,20,1.88888888888889
applovin,Advertising,CPU,21,3.11111111111111
applovin,Advertising,CPU,22,5.5
applovin,Advertising,CPU,23,1.44444444444444
applovin,Advertising,CPU,24,4.77777777777778
applovin,Advertising,CPU,25,4.25
applovin,Advertising,CPU,26,4.88888888888889
applovin,Advertising,CPU,27,4
applovin,Advertising,CPU,28,3.88888888888889
applovin,Advertising,CPU,29,3.33333333333333
applovin,Advertising,CPU,30,5.11111111111111
mopub,Advertising,CPU,1,9.33333333333333
mopub,Advertising,CPU,2,7
mopub,Advertising,CPU,3,13.5555555555556
mopub,Advertising,CPU,4,5.66666666666667
mopub,Advertising,CPU,5,4.33333333333333
mopub,Advertising,CPU,6,7.88888888888889
mopub,Advertising,CPU,7,6.88888888888889
mopub,Advertising,CPU,8,7
mopub,Advertising,CPU,9,6.11111111111111
mopub,Advertising,CPU,10,5.77777777777778
mopub,Advertising,CPU,11,10.1111111111111
mopub,Advertising,CPU,12,2.77777777777778
mopub,Advertising,CPU,13,14.6666666666667
mopub,Advertising,CPU,14,0
mopub,Advertising,CPU,15,6
mopub,Advertising,CPU,16,4.33333333333333
mopub,Advertising,CPU,17,9.44444444444444
mopub,Advertising,CPU,18,7.55555555555556
mopub,Advertising,CPU,19,7.11111111111111
mopub,Advertising,CPU,20,8
mopub,Advertising,CPU,21,7
mopub,Advertising,CPU,22,9.22222222222222
